Fullname,Nationality,Age,Club,Caps,Goals,Date Joined,Contract Ends,,Birthsday,Start year,Best position,Goalkeeper,Defender Central,Defender Right,Defender Left,Wingback right,Wingback left,Defensive midfielder,Midfielder Central,Midfielder right,Midfielder left,Attacking Midfielder Central,Attacking Midfielder right,Attacking Midfielder left,Center Forward,Right Forward,Left Forward,Goalkeeper,Sweeper,Defender,Defensive midfield,Midfield Center,Support,Attack,Right,Left,Centre,Ability,Potential,Reputation,Big Occasion,Character,Consistency,Technique,Passing,Heading,Shooting,Flair,Dribbling,Tackling,Stamina,Strenght,Pace,Jumping,Inj Prone %,Set Pieces,Positioning,Off The Ball,Marking,Creativity,Adaptability,Aggression,Determination,Dirtyness,Influence
Stijn Vlaminck,Belgium,17,Beveren,0,0,,,,9-3-1979,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Jansta,Czech Republic,25,Beveren,0,0,,,,6-3-1971,01-07-1996,,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lambert Smid,Czech Republic,27,Beveren,0,0,,,,9-8-1968,01-07-1996,,0,0,0,0,0,100,100,100,0,100,50,0,50,0,0,0,0,0,0,2,2,1,0,0,2,1,115,125,105,15,4,11,0,70,0,0,0,0,0,65,0,0,0,55,70,60,0,0,75,35,0,45,30,90
Bert Dhont,Belgium,22,Beveren,0,0,7,,,26-8-1973,01-07-1996,,0,50,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesper Topp Johansen,Denmark,22,Beveren,0,0,7,,,26-6-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Scalia,France,23,Beveren,0,0,7,7,,27-9-1972,01-07-1996,,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Tomas Danilevicius,Lithuania,17,Beveren,0,0,,,,18-7-1978,01-07-1996,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,46,97,1,0,13,5,70,10,65,60,10,75,0,55,50,0,0,0,45,65,65,50,25,55,10,70,30,70
Remco Torken,Netherlands,24,Beveren,0,0,6,,,3-1-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,2,0,2,0,2,0,105,120,90,13,12,8,45,55,80,5,5,60,40,85,65,0,0,70,25,45,80,55,35,60,70,10,0,45
Martin Van Ophuizen,Netherlands,27,Beveren,0,0,,,,3-11-1968,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,102,114,74,17,10,9,0,5,75,45,60,40,10,65,65,0,0,20,60,5,65,15,0,75,10,65,75,70
Gideon Imagbudu,Nigeria,17,Beveren,0,0,7,7,,5-8-1978,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,105,109,0,14,2,2,85,100,55,40,50,30,60,5,95,0,0,55,90,60,100,25,40,40,25,25,25,60
Yves Essende,Republic of Congo,27,Beveren,0,0,,,,28-8-1968,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didier Ekanza Simba,Republic of Congo,26,Beveren,31,0,6,,,9-8-1969,01-07-1996,,0,0,0,0,0,0,0,100,0,0,50,0,0,50,0,0,0,0,0,0,2,1,1,0,0,2,110,125,21,4,14,6,0,80,10,85,25,80,40,20,85,50,0,0,15,0,80,30,30,30,40,50,75,55
Thierry Flies,Belgium,18,Beveren,0,0,,,,19-12-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geert Knapen,Belgium,23,Beveren,0,0,7,,,20-10-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erwin Lemmens,Belgium,20,Beveren,0,0,,6,,12-5-1976,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,95,0,1,17,13,2,40,85,45,25,50,60,80,35,40,50,0,50,20,25,60,85,65,0,60,60,20,35
Frank Magerman,Belgium,18,Beveren,0,0,,,,9-11-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristof Mannaert,Belgium,18,Beveren,0,0,,,,11-12-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Peersman,Belgium,16,Beveren,0,0,,,,28-9-1979,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandy Pierssens,Belgium,21,Beveren,0,0,,,,26-1-1975,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,52,104,1,9,8,1,80,35,45,5,10,35,80,35,45,55,0,80,80,15,15,30,20,25,45,25,15,50
Hayden Foxe,Australia,19,Bielefeld,0,0,,,,23-6-1977,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Kuntz,Germany,33,Bielefeld,24,0,,,,30-10-1962,01-07-1996,,0,0,0,0,0,0,0,50,0,0,50,0,0,100,0,0,0,0,0,0,1,1,2,0,0,2,155,155,142,17,0,15,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,90
Ronald Maul,Germany,23,Bielefeld,0,0,,,,13-2-1973,01-07-1996,,0,0,100,100,50,50,0,0,100,100,0,0,0,0,0,0,0,0,2,1,2,0,0,1,2,0,142,152,74,10,8,10,45,40,40,45,40,50,55,50,50,40,0,0,40,50,55,40,60,45,50,40,45,45
Silvio Mei†ner,Germany,23,Bielefeld,0,0,,,,19-1-1973,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,2,0,0,0,2,1,1,2,144,147,80,9,12,12,45,45,65,75,50,60,80,50,45,95,0,0,65,65,50,45,55,40,50,45,50,45
J?rg Reeb,Germany,24,Bielefeld,0,0,,,,6-1-1972,01-07-1996,,0,50,0,50,0,100,100,100,0,100,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,150,155,145,10,8,12,50,50,45,35,45,50,45,40,45,90,0,0,45,60,50,60,45,50,65,40,45,50
GÅnther Sch?fer,Germany,34,Bielefeld,0,0,,,,9-6-1962,01-07-1996,,0,100,100,100,50,50,50,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,2,140,172,132,14,15,18,60,55,65,45,50,60,70,50,65,60,0,0,45,75,55,70,50,75,50,70,65,80
Michael Sternkopf,Germany,26,Bielefeld,0,0,,,,21-4-1970,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,2,2,2,2,2,1,148,162,136,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Von Heesen,Germany,34,Bielefeld,0,0,,,,1-10-1961,01-07-1996,,0,0,0,0,0,0,0,100,100,0,50,50,0,0,0,0,0,0,0,0,2,1,0,1,0,2,115,178,121,12,14,20,60,60,60,60,60,60,45,45,45,0,0,0,50,65,65,50,65,60,50,45,50,85
Thomas Stratos,Greece,29,Bielefeld,0,0,,,,9-10-1966,01-07-1996,,0,100,0,100,0,50,50,50,0,50,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,2,140,150,125,13,11,10,45,55,50,35,45,40,45,40,40,0,0,50,45,50,50,45,45,45,70,40,45,60
Karim Bagheri,Iran,22,Bielefeld,30,0,,,,20-2-1974,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Daei,Iran,27,Bielefeld,33,0,,,,21-3-1969,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,148,0,0,0,0,0,0,0,0,95,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
Zdenko Miletic,Croatia,28,Bielefeld,0,0,,,,29-4-1968,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,124,132,0,9,9,12,50,45,50,0,0,0,55,55,50,70,0,0,45,45,45,0,40,50,50,50,60,60
Giuseppe Reina,Italy,24,Bielefeld,0,0,,,,15-4-1972,01-07-1996,,0,0,0,0,50,0,50,50,50,0,50,50,0,100,100,0,0,0,0,1,1,1,2,1,0,2,147,170,130,10,9,12,40,45,40,50,45,45,45,45,45,80,0,0,45,40,45,55,50,50,50,45,50,45
Rob Maas,Netherlands,26,Bielefeld,0,0,,,,17-12-1969,01-07-1996,,0,0,0,0,0,100,100,100,0,100,50,0,50,0,0,0,0,0,0,2,2,1,0,0,1,2,150,150,140,6,10,16,80,65,50,55,65,60,55,75,0,50,0,10,60,55,0,55,60,0,65,60,60,90
Sonny Silooy,Netherlands,32,Bielefeld,25,0,,,,31-8-1963,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,1,129,167,136,0,0,12,0,75,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Josef Ivanovic,Macedonia,22,Bielefeld,0,0,,,,5-12-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,2,1,1,2,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Christian Alder,Germany,17,Bielefeld,0,0,,,,3-9-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J?rg Bode,Germany,26,Bielefeld,0,0,,,,22-8-1969,01-07-1996,,0,50,50,50,50,50,50,100,100,100,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,1,132,165,125,13,14,12,55,45,45,40,45,50,60,45,50,70,0,0,50,50,45,50,40,60,50,60,50,50
Matthias Breitkreutz,Germany,25,Bielefeld,0,0,,,,12-5-1971,01-07-1996,,0,0,0,0,50,50,50,100,100,100,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,134,171,124,13,12,14,50,60,50,60,65,60,55,50,50,40,0,0,45,50,45,55,65,50,60,50,45,65
Bernd Eigner,Germany,24,Bielefeld,0,0,,,,1-5-1972,01-07-1996,,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
Uwe Fuchs,Germany,29,Bielefeld,0,0,,,,23-7-1966,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heiko Gerber,Germany,23,Bielefeld,0,0,,,,11-7-1972,01-07-1996,,0,0,0,100,0,50,0,0,0,100,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,130,141,120,8,8,20,50,45,35,45,45,40,60,60,65,95,0,0,60,50,45,50,40,45,50,50,45,40
Frederick G?†ling,Germany,18,Bielefeld,0,0,,,,22-9-1977,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Georg Koch,Germany,24,Bielefeld,0,0,10,,,3-2-1972,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,150,165,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Per Hansen,Denmark,23,Birker?d,0,0,,,,29-3-1973,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,77,103,0,12,10,14,50,40,40,35,40,40,65,40,45,30,0,0,45,45,50,55,50,40,50,55,45,55
Jesmond Cardona,Malta,29,Birkirkara,0,0,,,,1-6-1967,01-07-1996,,0,0,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,98,98,90,9,8,17,30,40,35,50,30,35,55,30,0,60,0,90,45,30,0,35,40,0,55,45,80,55
Jesmond Delia,Malta,28,Birkirkara,0,0,,,,1-9-1967,01-07-1996,,0,0,0,0,50,0,50,100,100,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,2,93,93,65,8,13,9,30,40,45,55,25,40,55,55,0,45,0,60,45,30,0,35,40,0,55,70,80,50
Antoine Zahra,Malta,22,Birkirkara,8,1,,,,1-1-19        ,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,2,2,0,0,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Ablett,England,30,Birmingham,0,0,,7,,19-11-1965,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,119,140,75,0,4,17,20,25,70,15,15,5,80,90,60,15,0,30,20,45,45,50,25,50,50,60,60,75
Howard Forinton,England,20,Birmingham,0,0,7,,,18-9-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Forster,England,22,Birmingham,0,0,,,,8-9-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,119,147,99,0,8,12,70,50,70,75,100,60,25,80,30,70,0,10,45,50,100,45,0,80,35,50,20,40
Paul Furlong,England,27,Birmingham,0,0,,,,1-10-1968,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,110,130,85,11,7,10,15,35,80,70,35,70,70,85,70,25,0,60,50,60,60,75,0,75,75,75,65,45
Jerry Gill,England,25,Birmingham,0,0,,,,8-9-1970,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Grainger,England,23,Birmingham,0,0,,,,23-8-1972,01-07-1996,,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,107,157,72,0,12,6,30,30,30,50,40,40,100,65,65,10,0,15,90,70,80,75,30,50,85,55,80,35
Paul Hatton,England,17,Birmingham,0,0,,,,2-11-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Hinton,England,22,Birmingham,0,0,5,,,1-1-19        ,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Holland,England,20,Birmingham,0,0,,,,11-9-1975,01-07-1996,,0,0,0,0,50,50,50,100,100,100,100,100,100,0,0,0,0,0,0,1,2,2,0,2,1,1,138,-1,100,0,0,12,70,75,25,0,30,60,70,90,65,10,0,0,60,50,65,0,75,65,65,70,50,70
Bryan Hughes,England,20,Birmingham,0,0,,,,19-6-1976,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,2,2,0,1,1,2,100,147,87,12,1,15,45,65,70,70,85,65,100,0,50,0,0,5,80,15,80,50,60,25,15,55,15,60
Michael Johnson,England,22,Birmingham,0,0,,,,4-7-1973,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,80,134,75,0,6,18,15,5,100,5,15,10,95,5,70,0,0,30,5,100,15,55,65,60,85,50,45,50
Steve Barnes,England,20,Birmingham,0,0,,6,,5-1-1976,01-07-1996,,0,0,0,0,0,0,0,0,100,100,0,100,100,0,50,50,0,0,0,0,2,2,1,1,2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Marsden,England,27,Birmingham,0,0,10,6,,3-1-1969,01-07-1996,,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,90,119,25,0,16,0,55,35,0,30,50,60,0,0,0,80,0,70,70,0,70,0,0,60,95,0,0,0
Martin O'Connor,England,28,Birmingham,0,0,,,,10-12-1967,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,80,150,57,14,5,15,30,70,30,65,60,50,30,60,60,0,0,30,80,40,30,25,40,65,50,75,30,80
Darren Purse,England,19,Birmingham,0,0,2,,,14-2-1977,01-07-1996,,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,2,0,0,2,2,0,0,2,100,-1,78,20,9,9,40,45,90,65,35,30,90,65,65,0,0,65,45,75,35,75,0,70,45,70,65,75
Simon Rea,England,19,Birmingham,0,0,,6,,20-9-1976,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,70,109,32,0,6,5,30,30,65,35,30,30,45,50,50,0,0,40,40,70,30,60,45,30,65,50,35,40
Steven Robinson,England,20,Birmingham,0,0,,6,,17-10-1975,01-07-1996,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,80,130,45,6,8,6,50,35,25,40,40,50,50,25,20,90,0,50,30,35,45,45,65,45,15,30,15,25
Paul Tait,England,25,Birmingham,0,0,,,,31-1-1971,01-07-1996,,0,0,0,0,0,0,0,0,100,100,0,50,50,0,0,0,0,0,0,0,2,1,0,2,2,0,115,0,85,0,14,8,60,55,20,60,60,55,25,15,15,30,0,70,65,15,30,40,55,70,55,45,50,35
Darren Wassall,England,28,Birmingham,0,0,5,,,27-6-1968,01-07-1996,,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,80,122,60,0,12,12,45,20,50,45,30,15,85,50,55,0,0,40,30,60,40,80,45,50,30,60,35,60
Jon McCarthy,Northern Ireland,25,Birmingham,4,0,9,6,,18-8-1970,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,2,2,0,2,116,145,80,0,2,14,55,50,15,65,100,85,20,75,15,0,0,10,60,25,95,20,75,65,30,70,5,95
Andy Legg,Wales,29,Birmingham,4,0,,,,28-7-1966,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,2,2,0,2,0,80,130,60,14,14,12,35,40,5,50,35,80,60,55,60,0,0,30,70,60,50,20,60,65,70,100,40,70
Peter Ndlovu,Zimbabwe,23,Birmingham,0,0,7,7,,25-2-1973,01-07-1996,,0,0,0,0,0,0,0,50,50,50,100,100,100,100,100,100,0,0,0,0,1,2,2,2,1,2,147,170,100,0,0,4,80,50,10,65,100,100,40,70,55,100,0,100,60,50,65,10,65,60,25,50,15,40
Jonathan Bass,England,20,Birmingham,0,0,,6,,1-1-1976,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,54,115,16,13,6,5,25,30,50,35,25,30,65,35,50,0,0,50,45,45,30,45,45,40,70,30,15,25
Ian Bennett,England,24,Birmingham,0,0,,,,10-10-1971,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,121,160,97,12,7,17,45,60,55,5,5,10,90,35,15,70,0,35,5,55,5,5,60,30,30,40,45,30
Steve Bruce,England,35,Birmingham,0,0,,,,31-12-1960,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,128,150,120,18,1,15,15,30,100,55,5,5,100,80,75,60,0,55,10,60,20,40,45,85,75,100,75,100
Simon Charlton,England,24,Birmingham,0,0,1,6,,25-10-1971,01-07-1996,,0,100,0,100,0,100,100,100,0,100,0,0,0,0,0,0,0,1,2,2,2,0,0,0,2,1,120,0,76,0,0,6,45,20,35,15,25,25,60,55,60,75,0,0,35,75,55,0,50,50,55,60,50,55
Paul Devlin,England,24,Birmingham,0,0,,,,14-4-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2,2,0,0,110,127,80,0,15,17,35,30,50,85,85,80,50,95,95,0,0,40,60,30,95,70,70,15,55,15,50,70
Lee Dukes,England,16,Birmingham,0,0,,,,24-10-1979,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Dyson,England,17,Birmingham,0,0,,,,20-4-1979,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Filan,Australia,26,Blackburn,0,0,6,6,,8-2-1970,01-07-1996,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,0,100,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,5,0,0,0,0,0,0,0,0,0
Tim Sherwood,England,27,Blackburn,0,0,,,,6-2-1969,01-07-1996,,0,0,0,0,100,0,100,100,100,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,140,0,120,15,12,11,50,60,40,50,15,25,80,100,55,0,0,0,70,65,35,50,60,70,60,90,75,95
Luke Staton,England,17,Blackburn,0,0,,,,10-3-1979,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,-1,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Sutton,England,23,Blackburn,0,0,,,,10-3-1973,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,2,0,0,0,2,0,0,2,144,155,132,0,2,9,40,50,90,65,30,20,75,95,85,45,0,20,5,85,50,40,30,80,90,100,50,50
Anthony Whealing,England,19,Blackburn,0,0,,,,3-9-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Jason Wilcox,England,24,Blackburn,0,0,,,,15-7-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,50,0,0,0,0,2,2,1,0,2,0,142,145,125,15,2,17,50,50,30,50,40,75,50,95,50,0,0,60,65,60,80,25,60,55,50,50,40,60
Patrick Valery,France,26,Blackburn,0,0,7,7,,3-7-1969,01-07-1996,,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,135,141,133,0,16,11,45,0,65,55,60,60,80,80,70,65,0,65,0,70,75,75,55,60,85,0,0,70
Alan Fettis,Northern Ireland,25,Blackburn,18,0,,6,,1-2-1971,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,107,156,95,0,16,12,60,75,95,5,10,5,100,80,80,0,0,55,5,75,10,10,60,55,20,75,10,85
Damien Johnson,Northern Ireland,17,Blackburn,0,0,,,,18-11-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127,-1,90,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Bohinen,Norway,26,Blackburn,47,10,,,,8-9-1969,01-07-1996,,0,0,0,0,0,50,50,100,0,100,100,0,100,0,0,0,0,0,0,1,2,2,0,0,1,2,127,141,120,0,3,11,65,75,25,60,60,35,40,70,40,50,0,20,50,40,60,20,50,70,40,50,25,50
Tore Pedersen,Norway,26,Blackburn,42,0,7,,,29-9-1969,01-07-1996,,0,50,0,50,0,100,100,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,2,150,-1,0,19,3,19,35,40,80,10,5,5,100,100,80,50,0,75,45,95,10,100,80,95,80,100,75,20
James Beattie,England,18,Blackburn,0,0,,,,27-2-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,112,0,60,0,0,8,40,30,85,0,0,15,55,90,95,45,0,0,25,0,0,5,0,0,80,0,20,0
Graham Cassin,Republic Of Ireland,18,Blackburn,0,0,,,,24-3-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,0,0,0,0,0,50,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
Graham Coughlan,Republic Of Ireland,21,Blackburn,0,0,,,,18-11-1974,01-07-1996,,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
